iter	Passed	Remaining
413	2693	3812
414	2697	3803
415	2702	3793
416	2707	3785
417	2712	3776
418	2717	3767
419	2722	3759
420	2726	3750
421	2731	3741
422	2736	3732
423	2741	3723
424	2745	3714
425	2750	3706
426	2755	3697
427	2759	3688
428	2764	3679
429	2769	3671
430	2775	3663
431	2779	3655
432	2785	3647
433	2790	3639
434	2795	3631
435	2800	3623
436	2805	3614
437	2810	3606
438	2815	3597
439	2819	3589
440	2824	3580
441	2829	3572
442	2834	3564
443	2839	3555
444	2844	3547
445	2848	3538
446	2853	3530
447	2858	3522
448	2864	3514
449	2869	3507
450	2875	3500
451	2880	3491
452	2884	3483
453	2889	3475
454	2894	3466
455	2898	3458
456	2903	3450
457	2908	3441
458	2912	3433
459	2917	3425
460	2923	3418
461	2928	3409
462	2934	3403
463	2940	3396
464	2945	3389
465	2951	3382
466	2956	3374
467	2961	3366
468	2966	3358
469	2972	3351
470	2977	3344
471	2982	3335
472	2987	3328
473	2992	3321
474	2998	3313
475	3003	3306
476	3008	3298
477	3013	3290
478	3018	3283
479	3024	3276
480	3029	3269
481	3035	3262
482	3041	3255
483	3047	3249
484	3053	3242
485	3059	3235
486	3065	3229
487	3070	3222
488	3076	3214
489	3081	3207
490	3086	3199
491	3092	3192
492	3097	3185
493	3103	3178
494	3108	3171
495	3113	3163
496	3118	3156
497	3125	3150
498	3132	3144
499	3139	3139
500	3145	3133
501	3151	3126
502	3157	3119
503	3164	3113
504	3169	3106
505	3175	3100
506	3182	3094
507	3188	3087
508	3193	3080
509	3199	3073
510	3204	3066
511	3210	3059
512	3215	3052
513	3220	3044
514	3226	3038
515	3231	3031
516	3237	3024
517	3243	3017
518	3248	3010
519	3253	3003
520	3258	2995
521	3263	2988
522	3269	2982
523	3274	2974
524	3280	2967
525	3285	2960
526	3290	2953
527	3294	2945
528	3299	2938
529	3304	2930
530	3309	2922
531	3314	2916
532	3319	2908
533	3324	2901
534	3329	2894
535	3334	2886
536	3339	2878
537	3343	2871
538	3348	2863
539	3353	2856
540	3357	2848
541	3362	2841
542	3367	2834
543	3372	2826
544	3376	2819
545	3382	2812
546	3387	2805
547	3392	2798
548	3397	2790
549	3401	2783
550	3406	2776
551	3411	2768
552	3416	2761
553	3420	2753
554	3425	2746
555	3430	2739
556	3434	2731
557	3439	2724
558	3455	2726
559	3461	2719
560	3465	2711
561	3471	2705
562	3476	2698
563	3481	2691
564	3486	2684
565	3490	2676
566	3495	2669
567	3500	2662
568	3505	2655
569	3510	2648
570	3515	2641
571	3520	2634
572	3525	2627
573	3531	2620
574	3538	2615
575	3543	2608
576	3549	2601
577	3554	2595
578	3559	2588
579	3567	2583
580	3572	2576
581	3578	2569
582	3583	2563
583	3588	2556
584	3593	2549
585	3598	2542
586	3603	2535
587	3608	2528
588	3612	2520
589	3617	2513
590	3621	2506
591	3626	2499
592	3631	2492
593	3637	2486
594	3642	2479
595	3647	2472
596	3652	2465
597	3656	2458
598	3661	2451
599	3666	2444
600	3671	2437
601	3676	2430
602	3680	2423
603	3685	2416
604	3690	2409
605	3695	2402
606	3700	2395
607	3704	2388
608	3710	2382
609	3715	2375
610	3720	2368
611	3725	2362
612	3731	2355
613	3735	2348
614	3740	2341
615	3745	2334
616	3750	2328
617	3755	2321
618	3760	2314
619	3766	2308
620	3771	2301
621	3776	2294
622	3780	2287
623	3785	2281
624	3790	2274
625	3795	2267
626	3800	2261
627	3805	2254
628	3810	2247
629	3814	2240
630	3819	2233
631	3824	2226
632	3829	2220
633	3834	2213
